timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732362096831,1011,HTTP Request,200,OK,Thread Group 1-97,text,false,"The operation lasted too long: It took 1,011 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,73,73,https://ptibeadando.eleshu.hu/,1011,0,575
1732362096559,1284,HTTP Request,200,OK,Thread Group 1-66,text,false,"The operation lasted too long: It took 1,284 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,71,71,https://ptibeadando.eleshu.hu/,1284,0,685
1732362096768,1076,HTTP Request,200,OK,Thread Group 1-88,text,false,"The operation lasted too long: It took 1,076 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,70,70,https://ptibeadando.eleshu.hu/,1076,0,690
1732362096598,1247,HTTP Request,200,OK,Thread Group 1-72,text,false,"The operation lasted too long: It took 1,247 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,70,70,https://ptibeadando.eleshu.hu/,1247,0,672
1732362096697,1149,HTTP Request,200,OK,Thread Group 1-80,text,false,"The operation lasted too long: It took 1,149 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,69,69,https://ptibeadando.eleshu.hu/,1148,0,686
1732362096710,1136,HTTP Request,200,OK,Thread Group 1-84,text,false,"The operation lasted too long: It took 1,136 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,68,68,https://ptibeadando.eleshu.hu/,1136,0,617
1732362096737,1109,HTTP Request,200,OK,Thread Group 1-85,text,false,"The operation lasted too long: It took 1,109 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,68,68,https://ptibeadando.eleshu.hu/,1109,0,587
1732362096115,1733,HTTP Request,200,OK,Thread Group 1-30,text,false,"The operation lasted too long: It took 1,733 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,65,65,https://ptibeadando.eleshu.hu/,1733,0,385
1732362096388,1460,HTTP Request,200,OK,Thread Group 1-48,text,false,"The operation lasted too long: It took 1,460 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,65,65,https://ptibeadando.eleshu.hu/,1460,0,354
1732362096769,1081,HTTP Request,200,OK,Thread Group 1-89,text,false,"The operation lasted too long: It took 1,081 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,63,63,https://ptibeadando.eleshu.hu/,1081,0,535
1732362096459,1391,HTTP Request,200,OK,Thread Group 1-59,text,false,"The operation lasted too long: It took 1,391 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,63,63,https://ptibeadando.eleshu.hu/,1391,0,686
1732362096496,1354,HTTP Request,200,OK,Thread Group 1-62,text,false,"The operation lasted too long: It took 1,354 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,63,63,https://ptibeadando.eleshu.hu/,1354,0,695
1732362095821,2031,HTTP Request,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 2,031 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,60,60,https://ptibeadando.eleshu.hu/,2031,0,765
1732362096105,1747,HTTP Request,200,OK,Thread Group 1-29,text,false,"The operation lasted too long: It took 1,747 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,60,60,https://ptibeadando.eleshu.hu/,1747,0,450
1732362096656,1196,HTTP Request,200,OK,Thread Group 1-78,text,false,"The operation lasted too long: It took 1,196 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,60,60,https://ptibeadando.eleshu.hu/,1196,0,727
1732362096065,1788,HTTP Request,200,OK,Thread Group 1-25,text,false,"The operation lasted too long: It took 1,788 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,57,57,https://ptibeadando.eleshu.hu/,1788,0,587
